127.0.0.1, 2019-01-26 15:55:07, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.014833
127.0.0.1, 2019-01-26 15:55:07, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000664
127.0.0.1, 2019-01-26 16:03:09, GET, /init/, HTTP/1.1, 200, 0.028245
127.0.0.1, 2019-01-26 16:03:09, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001354
127.0.0.1, 2019-01-26 16:03:09, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.004782
127.0.0.1, 2019-01-26 16:03:09, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.002514
127.0.0.1, 2019-01-26 16:03:09, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.005317
127.0.0.1, 2019-01-26 16:03:09, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.008897
127.0.0.1, 2019-01-26 16:03:09, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.000740
127.0.0.1, 2019-01-26 16:03:09, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000619
127.0.0.1, 2019-01-26 16:03:09, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.012168
127.0.0.1, 2019-01-26 16:03:09, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002741
127.0.0.1, 2019-01-26 16:03:09, GET, /init/static/images/background.jpg, HTTP/1.1, 404, 0.000665
127.0.0.1, 2019-01-26 16:05:18, GET, /init/default/student, HTTP/1.1, 200, 0.021141
127.0.0.1, 2019-01-26 16:06:12, GET, /init/default/student, HTTP/1.1, 200, 0.018275
127.0.0.1, 2019-01-26 16:06:12, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004909
127.0.0.1, 2019-01-26 16:06:12, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.002236
127.0.0.1, 2019-01-26 16:06:12, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.003210
127.0.0.1, 2019-01-26 16:06:12, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.007098
127.0.0.1, 2019-01-26 16:06:12, GET, /init/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.006374
127.0.0.1, 2019-01-26 16:06:12, GET, /init/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001156
127.0.0.1, 2019-01-26 16:06:12, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.006599
127.0.0.1, 2019-01-26 16:06:12, GET, /init/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.006152
